API,apiType,executionMode,technology,fileName,fullTestName,testNameLength,testDescription,isNameRepeated,descriptionCount
catwatch,rest,bb,java,EvoMaster_successes_Test.java,test_0_getOnHealth_jsonReturnsObject,36,getOnHealth_jsonReturnsObject,False,1
catwatch,rest,bb,java,EvoMaster_successes_Test.java,test_1_getOnHealthReturnsObject,31,getOnHealthReturnsObject,False,1
catwatch,rest,bb,java,EvoMaster_successes_Test.java,test_2_getOnExportReturnsObject,31,getOnExportReturnsObject,False,1
catwatch,rest,bb,java,EvoMaster_successes_Test.java,test_3_getOnApi_docsReturnsObject,33,getOnApi_docsReturnsObject,False,1
catwatch,rest,bb,java,EvoMaster_successes_Test.java,test_4_getOnLanguagesReturnsEmptyList,37,getOnLanguagesReturnsEmptyList,True,6
catwatch,rest,bb,java,EvoMaster_successes_Test.java,test_5_getOnStatisticsReturnsEmptyList,38,getOnStatisticsReturnsEmptyList,True,2
catwatch,rest,bb,java,EvoMaster_successes_Test.java,test_6_getOnLanguagesReturnsEmptyList,37,getOnLanguagesReturnsEmptyList,True,6
catwatch,rest,bb,java,EvoMaster_successes_Test.java,test_7_getOnStatisticsReturnsEmptyList,38,getOnStatisticsReturnsEmptyList,True,2
catwatch,rest,bb,java,EvoMaster_successes_Test.java,test_8_getOnLanguagesReturnsEmptyList,37,getOnLanguagesReturnsEmptyList,True,6
catwatch,rest,bb,java,EvoMaster_successes_Test.java,test_9_getOnLanguagesReturnsEmptyList,37,getOnLanguagesReturnsEmptyList,True,6
catwatch,rest,bb,java,EvoMaster_successes_Test.java,test_10_getOnLanguagesReturnsEmptyList,38,getOnLanguagesReturnsEmptyList,True,6
catwatch,rest,bb,java,EvoMaster_successes_Test.java,test_11_getOnLanguagesReturnsEmptyList,38,getOnLanguagesReturnsEmptyList,True,6
catwatch,rest,bb,java,EvoMaster_successes_Test.java,test_12_getOnProjectsReturnsEmptyList,37,getOnProjectsReturnsEmptyList,True,3
catwatch,rest,bb,java,EvoMaster_successes_Test.java,test_13_getOnProjectsReturnsEmptyList,37,getOnProjectsReturnsEmptyList,True,3
catwatch,rest,bb,java,EvoMaster_successes_Test.java,test_14_getOnProjectsReturnsEmptyList,37,getOnProjectsReturnsEmptyList,True,3
catwatch,rest,bb,java,EvoMaster_others_Test.java,test_0_getOnFetchReturnsNull,28,getOnFetchReturnsNull,False,1
catwatch,rest,bb,java,EvoMaster_faults_Test.java,test_0_headOnErrorShowsFaults_100_200,37,headOnErrorShowsFaults_100_200,False,1
catwatch,rest,bb,java,EvoMaster_faults_Test.java,test_1_deleteOnErrorShowsFaults_100_200,39,deleteOnErrorShowsFaults_100_200,False,1
catwatch,rest,bb,java,EvoMaster_faults_Test.java,test_2_patchOnErrorShowsFaults_100_200,38,patchOnErrorShowsFaults_100_200,False,1
catwatch,rest,bb,java,EvoMaster_faults_Test.java,test_3_putOnErrorShowsFaults_100_200,36,putOnErrorShowsFaults_100_200,False,1
catwatch,rest,bb,java,EvoMaster_faults_Test.java,test_4_postOnErrorShowsFaults_100_200,37,postOnErrorShowsFaults_100_200,False,1
catwatch,rest,bb,java,EvoMaster_faults_Test.java,test_5_getOnErrorShowsFaults_100_200,36,getOnErrorShowsFaults_100_200,False,1
