API,apiType,executionMode,technology,fileName,fullTestName,testNameLength,testDescription,isNameRepeated,descriptionCount
catwatch,rest,bb,java,EvoMaster_successes_Test.java,test_0_getOnHealth_jsonReturnsObject,36,getOnHealth_jsonReturnsObject,False,1
catwatch,rest,bb,java,EvoMaster_successes_Test.java,test_1_getOnHealthReturnsObject,31,getOnHealthReturnsObject,False,1
catwatch,rest,bb,java,EvoMaster_successes_Test.java,test_2_getOnExportReturnsObject,31,getOnExportReturnsObject,False,1
catwatch,rest,bb,java,EvoMaster_successes_Test.java,test_3_getOnApi_docsReturnsObject,33,getOnApi_docsReturnsObject,False,1
catwatch,rest,bb,java,EvoMaster_successes_Test.java,test_4_getOnStatisticsLanguagesReturnsEmptyList,47,getOnStatisticsLanguagesReturnsEmptyList,False,1
catwatch,rest,bb,java,EvoMaster_successes_Test.java,test_5_getOnStatisticsReturnsEmptyList,38,getOnStatisticsReturnsEmptyList,False,1
catwatch,rest,bb,java,EvoMaster_successes_Test.java,test_6_getOnLanguagesWithQueryParamsReturnsEmptyList,52,getOnLanguagesWithQueryParamsReturnsEmptyList,True,4
catwatch,rest,bb,java,EvoMaster_successes_Test.java,test_7_getOnLanguagesWithQueryParamsReturnsEmptyList,52,getOnLanguagesWithQueryParamsReturnsEmptyList,True,4
catwatch,rest,bb,java,EvoMaster_successes_Test.java,test_8_getOnLanguagesWithQueryParamsReturnsEmptyList,52,getOnLanguagesWithQueryParamsReturnsEmptyList,True,4
catwatch,rest,bb,java,EvoMaster_successes_Test.java,test_9_getOnLanguagesWithQueryParamsReturnsEmptyList,52,getOnLanguagesWithQueryParamsReturnsEmptyList,True,4
catwatch,rest,bb,java,EvoMaster_successes_Test.java,test_10_getOnProjectsWithQueryParamsReturnsEmptyList,52,getOnProjectsWithQueryParamsReturnsEmptyList,True,3
catwatch,rest,bb,java,EvoMaster_successes_Test.java,test_11_getOnProjectsWithQueryParamsReturnsEmptyList,52,getOnProjectsWithQueryParamsReturnsEmptyList,True,3
catwatch,rest,bb,java,EvoMaster_successes_Test.java,test_12_getOnProjectsWithQueryParamsReturnsEmptyList,52,getOnProjectsWithQueryParamsReturnsEmptyList,True,3
catwatch,rest,bb,java,EvoMaster_others_Test.java,test_0_getOnFetchReturnsNull,28,getOnFetchReturnsNull,False,1
catwatch,rest,bb,java,EvoMaster_faults_Test.java,test_0_postOnErrorShowsFaults_100_200,37,postOnErrorShowsFaults_100_200,False,1
catwatch,rest,bb,java,EvoMaster_faults_Test.java,test_1_patchOnErrorShowsFaults_100_200,38,patchOnErrorShowsFaults_100_200,False,1
catwatch,rest,bb,java,EvoMaster_faults_Test.java,test_2_headOnErrorShowsFaults_100_200,37,headOnErrorShowsFaults_100_200,False,1
catwatch,rest,bb,java,EvoMaster_faults_Test.java,test_3_getOnErrorShowsFaults_100_200,36,getOnErrorShowsFaults_100_200,False,1
catwatch,rest,bb,java,EvoMaster_faults_Test.java,test_4_deleteOnErrorShowsFaults_100_200,39,deleteOnErrorShowsFaults_100_200,False,1
catwatch,rest,bb,java,EvoMaster_faults_Test.java,test_5_putOnErrorShowsFaults_100_200,36,putOnErrorShowsFaults_100_200,False,1
catwatch,rest,bb,java,EvoMaster_faults_Test.java,test_6_getOnProjectsShowsFaults_100_200,39,getOnProjectsShowsFaults_100_200,False,1
